ToolID,ToolCode,CompanyCode,Model,Barcode,Description,CreatedDate,UpdatedDate,IsActive
513,CCMT120408GK-CA525,MFC,CCMT120408GK-CA525,NULL,"INSERT PHÁ THÔ (R0.8)","2019-05-27 11:41:50","2019-05-27 11:41:50",1
514,"DNGA150408T02025(PT600) ",MFC,"DNGA150408T02025(PT600) ",NULL,"INSERT PHÁ THÔ (R0.8)","2019-05-27 11:42:20","2019-05-27 11:42:20",1
515,DNGG150402-SF-IC907,MFC,DNGG150402-SF-IC907,NULL,"INSERT PHÁ THÔ ( I-15.5, DI=12.7, S=4.76, R=0.2)","2019-05-27 11:42:45","2019-05-27 11:42:45",1
516,"SNMG120404HQ (PV720)",MFC,"SNMG120404HQ (PV720)",NULL,"INSERT PHÁ THÔ (R0.4)","2019-05-27 11:43:20","2019-05-27 11:43:20",1
517,"SNMG120408PG (PR1535)",MFC,"SNMG120408PG (PR1535)",NULL,"INSERT PHÁ THÔ (R0.8)","2019-05-27 11:43:44","2019-05-27 11:43:44",1
518,"HNPJ0604ANSNGD KC725",MFC,"HNPJ0604ANSNGD KC725",NULL,"INSERT PHAY ","2019-05-27 11:44:13","2019-05-27 11:44:13",1
519,"HNGJ0604ANSNHD KCSM40",MFC,"HNGJ0604ANSNHD KCSM40",NULL,"INSERT PHAY ","2019-05-27 11:44:33","2019-05-27 11:44:33",1
520,TGMF304IC908,MFC,TGMF304IC908,NULL,"INSERT TIỆN TRÍCH RÃNH VÀ CẮT ĐỨT ( W=3, R0.4, I=13.55, TMAX= 10.30)","2019-05-27 11:45:14","2019-05-27 11:45:14",1
521,VNMG160404HQ(CA510),MFC,VNMG160404HQ(CA510),NULL,"INSERT TIỆN PHÁ THÔ (R0.4)","2019-05-27 11:45:33","2019-05-27 11:45:33",1
522,VNMG160404-NF-IC807,MFC,VNMG160404-NF-IC807,NULL,"INSERT TIỆN PHÁ THÔ ( I=16.6, DI=9.52, S=4.76, R0.4)","2019-05-27 11:45:53","2019-05-27 11:45:53",1
523,GDM3015N-040GMI-PR1225,MFC,GDM3015N-040GMI-PR1225,NULL,"INSERT TRÍCH RÃNH ( W3.0, R0.4, M=2.4, L=15.5, H=4.6)","2019-05-27 11:46:12","2019-05-27 11:46:12",1
524,ZR5040605,MFC,ZR5040605,NULL,NULL,"2019-05-27 11:46:28","2019-05-27 11:46:28",1
525,ZR5040610,MFC,ZR5040610,NULL,NULL,"2019-05-27 11:46:42","2019-05-27 11:46:42",1
526,ZR5040805,MFC,ZR5040805,NULL,NULL,"2019-05-27 11:46:57","2019-05-27 11:46:57",1
527,ZR5040810,MFC,ZR5040810,NULL,NULL,"2019-05-27 11:47:10","2019-05-27 11:47:10",1
528,16IR300ISO-TF,MFC,16IR300ISO-TF,NULL,"INSERT TIỆN","2019-05-30 14:54:11","2019-05-30 14:54:11",1
529,CNMG120408PT,MFC,CNMG120408PT,NULL,"INSERT TIỆN","2019-05-30 14:54:31","2019-05-30 14:54:31",1
530,"TGMF304 IC908",MFC,"TGMF304 IC908",NULL,"INSERT TIỆN","2019-05-30 14:54:53","2019-05-30 14:54:53",1
531,SCMT060205-GM-E,MFC,SCMT060205-GM-E,NULL,"INSERT TIỆN","2019-05-30 15:19:59","2019-05-30 15:19:59",1
532,SCMT060210-GM-I,MFC,SCMT060210-GM-I,NULL,"INSERT TIỆN","2019-05-30 15:20:40","2019-05-30 15:20:40",1
537,ASM0710S10R-2,MFC,ASM0710S10R-2,NULL,"CÁN DAO 10","2019-06-18 13:44:14","2019-06-18 13:44:14",1
538,ASM0712S12R-3,MFC,ASM0712S12R-3,NULL,"CÁN DAO 12R0.8","2019-06-18 13:44:36","2019-06-18 13:44:36",1
539,ASM0714S12R-3,MFC,ASM0714S12R-3,NULL,"CÁN DAO 14","2019-06-18 13:45:20","2019-06-18 13:45:20",1
540,ASM0716S16R-4,MFC,ASM0716S16R-4,NULL,"CÁN DAO 16","2019-06-18 13:45:40","2019-06-18 13:45:40",1
541,"TEBL 216-15-06-L150",MFC,"TEBL 216-15-06-L150",NULL,"CÁN DAO 16 R1.8","2019-06-18 13:45:58","2019-06-18 13:45:58",1
542,ASM0708S10R-1,MFC,ASM0708S10R-1,NULL,"CÁN DAO 8","2019-06-18 13:46:18","2019-06-18 13:46:18",1
543,SSP-1212-105L,MFC,SSP-1212-105L,NULL,"CÁN DAO CHAMFER","2019-06-18 13:48:17","2019-06-18 13:48:17",1
544,R217.69-1012.0-06-2AN,MFC,R217.69-1012.0-06-2AN,NULL,"CÁN DAO PHAY","2019-06-18 13:48:45","2019-06-18 13:48:45",1
545,R21721-10120-LP05.2A,MFC,R21721-10120-LP05.2A,NULL,"CÁN DAO PHAY","2019-06-18 13:49:01","2019-06-18 13:49:01",1
546,7792VXP06CA016Z2R140,MFC,7792VXP06CA016Z2R140,NULL,"CÁN DAO PHAY 16","2019-06-18 13:49:33","2019-06-18 13:49:33",1
547,EPV16R040M32.0-03,MFC,EPV16R040M32.0-03,NULL,"CÁN DAO PHAY 40","2019-06-18 13:49:53","2019-06-18 13:49:53",1
548,A08X-STLCR09-10AE,MFC,A08X-STLCR09-10AE,NULL,"CÁN DAO TIỆN","2019-06-18 13:50:43","2019-06-18 13:50:43",1
549,A10L-STLCR09-12AE,MFC,A10L-STLCR09-12AE,NULL,"CÁN DAO TIỆN","2019-06-18 14:16:50","2019-06-18 14:16:50",1
550,E12Q-STLPR11-14A,MFC,E12Q-STLPR11-14A,NULL,"CÁN DAO TIỆN","2019-06-18 14:17:07","2019-06-18 14:17:07",1
551,A16Q-STLPR11-18AE,MFC,A16Q-STLPR11-18AE,NULL,"CÁN DAO TIỆN","2019-06-18 14:17:27","2019-06-18 14:17:27",1
552,C05H-SWUBR-06-D06,MFC,C05H-SWUBR-06-D06,NULL,"CÁN DAO TIỆN","2019-06-18 14:17:46","2019-06-18 14:17:46",1
553,C07K-SCLCR04-08AN,MFC,C07K-SCLCR04-08AN,NULL,"CÁN DAO TIỆN","2019-06-18 14:18:30","2019-06-18 14:18:30",1
554,DVLNR2525M-16,MFC,DVLNR2525M-16,NULL,"CÁN DAO TIỆN","2019-06-18 14:18:48","2019-06-18 14:18:48",1
555,KTKB26-3S,MFC,KTKB26-3S,NULL,"CÁN DAO TIỆN","2019-06-18 14:19:08","2019-06-18 14:19:08",1
556,KTKTB20-26,MFC,KTKTB20-26,NULL,"CÁN DAO TIỆN","2019-06-18 14:19:29","2019-06-18 14:19:29",1
557,KTKB32-3S,MFC,KTKB32-3S,NULL,"CÁN DAO TIỆN","2019-06-18 14:19:48","2019-06-18 14:19:48",1
558,KTKTB25-32,MFC,KTKTB25-32,NULL,"CÁN DAO TIỆN","2019-06-18 14:20:10","2019-06-18 14:20:10",1
559,KGDIR1816B-2,MFC,KGDIR1816B-2,NULL,"CÁN DAO TIỆN","2019-06-18 14:20:25","2019-06-18 14:20:25",1
560,KGDIR2016B-3,MFC,KGDIR2016B-3,NULL,"CÁN DAO TIỆN","2019-06-18 14:20:44","2019-06-18 14:20:44",1
561,KGDR2020K-2T17,MFC,KGDR2020K-2T17,NULL,"CÁN DAO TIỆN","2019-06-18 14:21:01","2019-06-18 14:21:01",1
